state,year,date,age,ethnicity,population
Johor,2017,2017-01-01,40-44,Indian,17.5
Johor,2017,2017-01-01,40-44,Other Citizen,0.7
Johor,2017,2017-01-01,40-44,Other Non-Citizen,24.3
Johor,2017,2017-01-01,45-49,Bumi Malay,105.3
Johor,2017,2017-01-01,45-49,Bumi Other,3.1
Johor,2017,2017-01-01,45-49,Chinese,73.8
Johor,2017,2017-01-01,45-49,Indian,15.1
Johor,2017,2017-01-01,45-49,Other Citizen,0.4
Johor,2017,2017-01-01,45-49,Other Non-Citizen,17.4
Johor,2017,2017-01-01,50-54,Bumi Malay,98.7
Johor,2017,2017-01-01,50-54,Bumi Other,2.1
Johor,2017,2017-01-01,50-54,Chinese,67.4
Johor,2017,2017-01-01,50-54,Indian,13.2
Johor,2017,2017-01-01,50-54,Other Citizen,0.4
Johor,2017,2017-01-01,50-54,Other Non-Citizen,12.3
Johor,2017,2017-01-01,55-59,Bumi Malay,85.7
Johor,2017,2017-01-01,55-59,Bumi Other,1.5
Johor,2017,2017-01-01,55-59,Chinese,59.9
Johor,2017,2017-01-01,55-59,Indian,11.4
Johor,2017,2017-01-01,55-59,Other Citizen,0.4
Johor,2017,2017-01-01,55-59,Other Non-Citizen,9.1
Johor,2017,2017-01-01,60-64,Bumi Malay,67.4
Johor,2017,2017-01-01,60-64,Bumi Other,0.9
Johor,2017,2017-01-01,60-64,Chinese,48.8
Johor,2017,2017-01-01,60-64,Indian,8.5
Johor,2017,2017-01-01,60-64,Other Citizen,0.4
Johor,2017,2017-01-01,60-64,Other Non-Citizen,6.1
Johor,2017,2017-01-01,65-69,Bumi Malay,49.6
Johor,2017,2017-01-01,65-69,Bumi Other,0.6
Johor,2017,2017-01-01,65-69,Chinese,38.9
Johor,2017,2017-01-01,65-69,Indian,5.4
Johor,2017,2017-01-01,65-69,Other Citizen,0.2
Johor,2017,2017-01-01,65-69,Other Non-Citizen,4.2
Johor,2017,2017-01-01,70-74,Bumi Malay,30.6
Johor,2017,2017-01-01,70-74,Bumi Other,0.4
Johor,2017,2017-01-01,70-74,Chinese,27.6
Johor,2017,2017-01-01,70-74,Indian,3.2
Johor,2017,2017-01-01,70-74,Other Citizen,0
Johor,2017,2017-01-01,70-74,Other Non-Citizen,2.6
Johor,2017,2017-01-01,75-79,Bumi Malay,20
Johor,2017,2017-01-01,75-79,Bumi Other,0.3
Johor,2017,2017-01-01,75-79,Chinese,18.4
Johor,2017,2017-01-01,75-79,Indian,1.7
Johor,2017,2017-01-01,75-79,Other Citizen,0
Johor,2017,2017-01-01,75-79,Other Non-Citizen,1.6
Johor,2017,2017-01-01,80-84,Bumi Malay,10.7
Johor,2017,2017-01-01,80-84,Bumi Other,0.2
Johor,2017,2017-01-01,80-84,Chinese,9.8
Johor,2017,2017-01-01,80-84,Indian,1
Johor,2017,2017-01-01,80-84,Other Citizen,0
Johor,2017,2017-01-01,80-84,Other Non-Citizen,1.5
Johor,2017,2017-01-01,85 and above,Bumi Malay,9.9
Johor,2017,2017-01-01,85 and above,Bumi Other,0.3
Johor,2017,2017-01-01,85 and above,Chinese,6.6
Johor,2017,2017-01-01,85 and above,Indian,1.1
Johor,2017,2017-01-01,85 and above,Other Citizen,0
Johor,2017,2017-01-01,85 and above,Other Non-Citizen,1.8
Johor,2018,2018-01-01,0-4,Bumi Malay,197.1
Johor,2018,2018-01-01,0-4,Bumi Other,8
Johor,2018,2018-01-01,0-4,Chinese,66
Johor,2018,2018-01-01,0-4,Indian,16.5
Johor,2018,2018-01-01,0-4,Other Citizen,3.3
Johor,2018,2018-01-01,0-4,Other Non-Citizen,8
Johor,2018,2018-01-01,15-19,Bumi Malay,186.4
Johor,2018,2018-01-01,15-19,Bumi Other,5.2
Johor,2018,2018-01-01,15-19,Chinese,94.3
Johor,2018,2018-01-01,15-19,Indian,21.9
Johor,2018,2018-01-01,15-19,Other Citizen,2.4
Johor,2018,2018-01-01,15-19,Other Non-Citizen,17.4
Johor,2018,2018-01-01,20-24,Bumi Malay,171.6
Johor,2018,2018-01-01,20-24,Bumi Other,3.8
Johor,2018,2018-01-01,20-24,Chinese,92.6
Johor,2018,2018-01-01,20-24,Indian,20.5
Johor,2018,2018-01-01,20-24,Other Citizen,1.3
Johor,2018,2018-01-01,20-24,Other Non-Citizen,71.2
Johor,2018,2018-01-01,25-29,Bumi Malay,161.7
Johor,2018,2018-01-01,25-29,Bumi Other,4.1
Johor,2018,2018-01-01,25-29,Chinese,86.3
Johor,2018,2018-01-01,25-29,Indian,19.6
Johor,2018,2018-01-01,25-29,Other Citizen,1
Johor,2018,2018-01-01,25-29,Other Non-Citizen,72
Johor,2018,2018-01-01,30-34,Bumi Malay,162.4
Johor,2018,2018-01-01,30-34,Bumi Other,7.2
Johor,2018,2018-01-01,30-34,Chinese,83.4
Johor,2018,2018-01-01,30-34,Indian,19.6
Johor,2018,2018-01-01,30-34,Other Citizen,0.6
Johor,2018,2018-01-01,30-34,Other Non-Citizen,50.2
Johor,2018,2018-01-01,35-39,Bumi Malay,143.6
Johor,2018,2018-01-01,35-39,Bumi Other,5.6
Johor,2018,2018-01-01,35-39,Chinese,81.7
Johor,2018,2018-01-01,35-39,Indian,21.7
Johor,2018,2018-01-01,35-39,Other Citizen,0.6
Johor,2018,2018-01-01,35-39,Other Non-Citizen,35.1
Johor,2018,2018-01-01,40-44,Bumi Malay,111.8
Johor,2018,2018-01-01,40-44,Bumi Other,3.9
Johor,2018,2018-01-01,40-44,Chinese,77.2
Johor,2018,2018-01-01,40-44,Indian,18.1
Johor,2018,2018-01-01,40-44,Other Citizen,0.7
Johor,2018,2018-01-01,40-44,Other Non-Citizen,24.1
Johor,2018,2018-01-01,45-49,Bumi Malay,106.4
Johor,2018,2018-01-01,45-49,Bumi Other,3.3
Johor,2018,2018-01-01,45-49,Chinese,74.5
Johor,2018,2018-01-01,45-49,Indian,15.5
Johor,2018,2018-01-01,45-49,Other Citizen,0.4
Johor,2018,2018-01-01,45-49,Other Non-Citizen,17.8
Johor,2018,2018-01-01,50-54,Bumi Malay,99.3
Johor,2018,2018-01-01,50-54,Bumi Other,2.2
Johor,2018,2018-01-01,50-54,Chinese,68.5
Johor,2018,2018-01-01,50-54,Indian,13.5
Johor,2018,2018-01-01,50-54,Other Citizen,0.4
Johor,2018,2018-01-01,50-54,Other Non-Citizen,12.5
Johor,2018,2018-01-01,55-59,Bumi Malay,87.9
Johor,2018,2018-01-01,55-59,Bumi Other,1.5
Johor,2018,2018-01-01,55-59,Chinese,60.9
Johor,2018,2018-01-01,55-59,Indian,11.7
Johor,2018,2018-01-01,55-59,Other Citizen,0.4
Johor,2018,2018-01-01,55-59,Other Non-Citizen,9.4
Johor,2018,2018-01-01,60-64,Bumi Malay,69.8
Johor,2018,2018-01-01,60-64,Bumi Other,1
Johor,2018,2018-01-01,60-64,Chinese,51.1
Johor,2018,2018-01-01,60-64,Indian,9
Johor,2018,2018-01-01,60-64,Other Citizen,0.4
Johor,2018,2018-01-01,60-64,Other Non-Citizen,6.5
Johor,2018,2018-01-01,65-69,Bumi Malay,51.7
Johor,2018,2018-01-01,65-69,Bumi Other,0.7
Johor,2018,2018-01-01,65-69,Chinese,39.9
Johor,2018,2018-01-01,65-69,Indian,5.7
Johor,2018,2018-01-01,65-69,Other Citizen,0.2
Johor,2018,2018-01-01,65-69,Other Non-Citizen,4.3
Johor,2018,2018-01-01,70-74,Bumi Malay,33.4
Johor,2018,2018-01-01,70-74,Bumi Other,0.5
Johor,2018,2018-01-01,70-74,Chinese,29.6
Johor,2018,2018-01-01,70-74,Indian,3.5
Johor,2018,2018-01-01,70-74,Other Citizen,0
Johor,2018,2018-01-01,70-74,Other Non-Citizen,2.8
Johor,2018,2018-01-01,75-79,Bumi Malay,19.9
Johor,2018,2018-01-01,75-79,Bumi Other,0.3
Johor,2018,2018-01-01,75-79,Chinese,18.5
Johor,2018,2018-01-01,75-79,Indian,1.7
Johor,2018,2018-01-01,75-79,Other Citizen,0
Johor,2018,2018-01-01,75-79,Other Non-Citizen,1.5
Johor,2018,2018-01-01,80-84,Bumi Malay,11.7
Johor,2018,2018-01-01,80-84,Bumi Other,0.2
Johor,2018,2018-01-01,80-84,Chinese,11.1
Johor,2018,2018-01-01,80-84,Indian,1
Johor,2018,2018-01-01,80-84,Other Citizen,0
Johor,2018,2018-01-01,80-84,Other Non-Citizen,1.6
Johor,2018,2018-01-01,85 and above,Bumi Malay,10.1
Johor,2018,2018-01-01,85 and above,Bumi Other,0.4
Johor,2018,2018-01-01,85 and above,Chinese,6.6
Johor,2018,2018-01-01,85 and above,Indian,1.2
Johor,2018,2018-01-01,85 and above,Other Citizen,0
Johor,2018,2018-01-01,85 and above,Other Non-Citizen,1.8
Johor,2019,2019-01-01,0-4,Bumi Malay,202.1
Johor,2019,2019-01-01,0-4,Bumi Other,8
Johor,2019,2019-01-01,0-4,Chinese,64.1
Johor,2019,2019-01-01,0-4,Indian,16.5
Johor,2019,2019-01-01,0-4,Other Citizen,3.1
Johor,2019,2019-01-01,0-4,Other Non-Citizen,7.3
Johor,2019,2019-01-01,15-19,Bumi Malay,186.4
Johor,2019,2019-01-01,15-19,Bumi Other,6.2
Johor,2019,2019-01-01,15-19,Chinese,92.5
Johor,2019,2019-01-01,15-19,Indian,22.3
Johor,2019,2019-01-01,15-19,Other Citizen,2.4
Johor,2019,2019-01-01,15-19,Other Non-Citizen,15.8
Johor,2019,2019-01-01,20-24,Bumi Malay,176.5
Johor,2019,2019-01-01,20-24,Bumi Other,4.2
Johor,2019,2019-01-01,20-24,Chinese,93.8
Johor,2019,2019-01-01,20-24,Indian,21.1
Johor,2019,2019-01-01,20-24,Other Citizen,1.3
Johor,2019,2019-01-01,20-24,Other Non-Citizen,64.5
Johor,2019,2019-01-01,25-29,Bumi Malay,161.3
Johor,2019,2019-01-01,25-29,Bumi Other,3.7
Johor,2019,2019-01-01,25-29,Chinese,87.4
Johor,2019,2019-01-01,25-29,Indian,20.1
Johor,2019,2019-01-01,25-29,Other Citizen,0.9
Johor,2019,2019-01-01,25-29,Other Non-Citizen,65.3
Johor,2019,2019-01-01,30-34,Bumi Malay,163.3
Johor,2019,2019-01-01,30-34,Bumi Other,6.6
Johor,2019,2019-01-01,30-34,Chinese,83.3
Johor,2019,2019-01-01,30-34,Indian,18.8
Johor,2019,2019-01-01,30-34,Other Citizen,0.5
Johor,2019,2019-01-01,30-34,Other Non-Citizen,45.5
Johor,2019,2019-01-01,35-39,Bumi Malay,150.9
Johor,2019,2019-01-01,35-39,Bumi Other,6.5
Johor,2019,2019-01-01,35-39,Chinese,82.7
Johor,2019,2019-01-01,35-39,Indian,21.8
Johor,2019,2019-01-01,35-39,Other Citizen,0.4
Johor,2019,2019-01-01,35-39,Other Non-Citizen,31.8
Johor,2019,2019-01-01,40-44,Bumi Malay,114.9
Johor,2019,2019-01-01,40-44,Bumi Other,4.5
Johor,2019,2019-01-01,40-44,Chinese,77.5
Johor,2019,2019-01-01,40-44,Indian,18.8
Johor,2019,2019-01-01,40-44,Other Citizen,0.7
Johor,2019,2019-01-01,40-44,Other Non-Citizen,21.8
Johor,2019,2019-01-01,45-49,Bumi Malay,107.5
Johor,2019,2019-01-01,45-49,Bumi Other,3.5
Johor,2019,2019-01-01,45-49,Chinese,75.1
Johor,2019,2019-01-01,45-49,Indian,15.7
Johor,2019,2019-01-01,45-49,Other Citizen,0.5
Johor,2019,2019-01-01,45-49,Other Non-Citizen,16.2
Johor,2019,2019-01-01,50-54,Bumi Malay,99.9
Johor,2019,2019-01-01,50-54,Bumi Other,2.4
Johor,2019,2019-01-01,50-54,Chinese,69.6
Johor,2019,2019-01-01,50-54,Indian,13.9
Johor,2019,2019-01-01,50-54,Other Citizen,0.4
Johor,2019,2019-01-01,50-54,Other Non-Citizen,11.3
Johor,2019,2019-01-01,55-59,Bumi Malay,90.1
Johor,2019,2019-01-01,55-59,Bumi Other,1.6
Johor,2019,2019-01-01,55-59,Chinese,61.9
Johor,2019,2019-01-01,55-59,Indian,11.9
Johor,2019,2019-01-01,55-59,Other Citizen,0.3
Johor,2019,2019-01-01,55-59,Other Non-Citizen,8.6
Johor,2019,2019-01-01,60-64,Bumi Malay,72.5
Johor,2019,2019-01-01,60-64,Bumi Other,1.1
Johor,2019,2019-01-01,60-64,Chinese,53.2
Johor,2019,2019-01-01,60-64,Indian,9.4
Johor,2019,2019-01-01,60-64,Other Citizen,0.4
Johor,2019,2019-01-01,60-64,Other Non-Citizen,5.9
Johor,2019,2019-01-01,65-69,Bumi Malay,53.5
Johor,2019,2019-01-01,65-69,Bumi Other,0.7
Johor,2019,2019-01-01,65-69,Chinese,40.9
Johor,2019,2019-01-01,65-69,Indian,6
Johor,2019,2019-01-01,65-69,Other Citizen,0.3
Johor,2019,2019-01-01,65-69,Other Non-Citizen,3.9
Johor,2019,2019-01-01,70-74,Bumi Malay,36
Johor,2019,2019-01-01,70-74,Bumi Other,0.6
Johor,2019,2019-01-01,70-74,Chinese,31.4
Johor,2019,2019-01-01,70-74,Indian,3.7
Johor,2019,2019-01-01,70-74,Other Citizen,0
Johor,2019,2019-01-01,70-74,Other Non-Citizen,2.5
Johor,2019,2019-01-01,75-79,Bumi Malay,20.2
Johor,2019,2019-01-01,75-79,Bumi Other,0.3
Johor,2019,2019-01-01,75-79,Chinese,19.1
Johor,2019,2019-01-01,75-79,Indian,1.9
Johor,2019,2019-01-01,75-79,Other Citizen,0
Johor,2019,2019-01-01,75-79,Other Non-Citizen,1.4
Johor,2019,2019-01-01,80-84,Bumi Malay,12.5
Johor,2019,2019-01-01,80-84,Bumi Other,0.2
Johor,2019,2019-01-01,80-84,Chinese,12.2
Johor,2019,2019-01-01,80-84,Indian,1
Johor,2019,2019-01-01,80-84,Other Citizen,0
Johor,2019,2019-01-01,80-84,Other Non-Citizen,1.5
Johor,2019,2019-01-01,85 and above,Bumi Malay,10.4
Johor,2019,2019-01-01,85 and above,Bumi Other,0.4
Johor,2019,2019-01-01,85 and above,Chinese,6.9
Johor,2019,2019-01-01,85 and above,Indian,1.2
Johor,2019,2019-01-01,85 and above,Other Citizen,0
Johor,2019,2019-01-01,85 and above,Other Non-Citizen,1.7
Johor,2020,2020-01-01,0-4,Bumi Malay,195.9
Johor,2020,2020-01-01,0-4,Bumi Other,6.1
Johor,2020,2020-01-01,0-4,Chinese,82.7
Johor,2020,2020-01-01,0-4,Indian,18.2
Johor,2020,2020-01-01,0-4,Other Citizen,1.2
Johor,2020,2020-01-01,0-4,Other Non-Citizen,2.1
Johor,2020,2020-01-01,15-19,Bumi Malay,199.2
Johor,2020,2020-01-01,15-19,Bumi Other,6.5
Johor,2020,2020-01-01,15-19,Chinese,98.5
Johor,2020,2020-01-01,15-19,Indian,21.3
Johor,2020,2020-01-01,15-19,Other Citizen,4.3
Johor,2020,2020-01-01,15-19,Other Non-Citizen,15.4
Johor,2020,2020-01-01,20-24,Bumi Malay,193.8
Johor,2020,2020-01-01,20-24,Bumi Other,4.3
Johor,2020,2020-01-01,20-24,Chinese,103.1
Johor,2020,2020-01-01,20-24,Indian,20.7
Johor,2020,2020-01-01,20-24,Other Citizen,2.5
Johor,2020,2020-01-01,20-24,Other Non-Citizen,64.5
Johor,2020,2020-01-01,25-29,Bumi Malay,173.8
Johor,2020,2020-01-01,25-29,Bumi Other,3.4
Johor,2020,2020-01-01,25-29,Chinese,96.3
Johor,2020,2020-01-01,25-29,Indian,19.6
Johor,2020,2020-01-01,25-29,Other Citizen,1.1
Johor,2020,2020-01-01,25-29,Other Non-Citizen,68.4
Johor,2020,2020-01-01,30-34,Bumi Malay,176.2
Johor,2020,2020-01-01,30-34,Bumi Other,5.4
Johor,2020,2020-01-01,30-34,Chinese,91.4
Johor,2020,2020-01-01,30-34,Indian,17.7
Johor,2020,2020-01-01,30-34,Other Citizen,0.9
Johor,2020,2020-01-01,30-34,Other Non-Citizen,46.3
Johor,2020,2020-01-01,35-39,Bumi Malay,167.4
Johor,2020,2020-01-01,35-39,Bumi Other,6.5
Johor,2020,2020-01-01,35-39,Chinese,90.7
Johor,2020,2020-01-01,35-39,Indian,20.5
Johor,2020,2020-01-01,35-39,Other Citizen,0.5
Johor,2020,2020-01-01,35-39,Other Non-Citizen,32.4
Johor,2020,2020-01-01,40-44,Bumi Malay,128.7
Johor,2020,2020-01-01,40-44,Bumi Other,4.7
Johor,2020,2020-01-01,40-44,Chinese,85
Johor,2020,2020-01-01,40-44,Indian,18.7
Johor,2020,2020-01-01,40-44,Other Citizen,1.5
Johor,2020,2020-01-01,40-44,Other Non-Citizen,21.6
Johor,2020,2020-01-01,45-49,Bumi Malay,116.3
Johor,2020,2020-01-01,45-49,Bumi Other,3.6
Johor,2020,2020-01-01,45-49,Chinese,82.4
Johor,2020,2020-01-01,45-49,Indian,15.4
Johor,2020,2020-01-01,45-49,Other Citizen,1.1
Johor,2020,2020-01-01,45-49,Other Non-Citizen,15.6
Johor,2020,2020-01-01,50-54,Bumi Malay,107.8
Johor,2020,2020-01-01,50-54,Bumi Other,2.5
Johor,2020,2020-01-01,50-54,Chinese,76.9
Johor,2020,2020-01-01,50-54,Indian,13.6
Johor,2020,2020-01-01,50-54,Other Citizen,0.7
Johor,2020,2020-01-01,50-54,Other Non-Citizen,10.7
Johor,2020,2020-01-01,55-59,Bumi Malay,98.4
Johor,2020,2020-01-01,55-59,Bumi Other,1.7
Johor,2020,2020-01-01,55-59,Chinese,68.6
Johor,2020,2020-01-01,55-59,Indian,11.6
Johor,2020,2020-01-01,55-59,Other Citizen,0.6
Johor,2020,2020-01-01,55-59,Other Non-Citizen,8.2
Johor,2020,2020-01-01,60-64,Bumi Malay,80.5
Johor,2020,2020-01-01,60-64,Bumi Other,1.3
Johor,2020,2020-01-01,60-64,Chinese,60
Johor,2020,2020-01-01,60-64,Indian,9.3
Johor,2020,2020-01-01,60-64,Other Citizen,0.8
Johor,2020,2020-01-01,60-64,Other Non-Citizen,5.4
Johor,2020,2020-01-01,65-69,Bumi Malay,50.1
Johor,2020,2020-01-01,65-69,Bumi Other,1.1
Johor,2020,2020-01-01,65-69,Chinese,27.3
Johor,2020,2020-01-01,65-69,Indian,6.4
Johor,2020,2020-01-01,65-69,Other Citizen,1
Johor,2020,2020-01-01,65-69,Other Non-Citizen,9
Johor,2020,2020-01-01,70-74,Bumi Malay,34.2
Johor,2020,2020-01-01,70-74,Bumi Other,0.9
Johor,2020,2020-01-01,70-74,Chinese,21.1
Johor,2020,2020-01-01,70-74,Indian,3.8
Johor,2020,2020-01-01,70-74,Other Citizen,0.1
Johor,2020,2020-01-01,70-74,Other Non-Citizen,5.8
Johor,2020,2020-01-01,75-79,Bumi Malay,19.1
Johor,2020,2020-01-01,75-79,Bumi Other,0.5
Johor,2020,2020-01-01,75-79,Chinese,13.1
Johor,2020,2020-01-01,75-79,Indian,2.1
Johor,2020,2020-01-01,75-79,Other Citizen,0.1
Johor,2020,2020-01-01,75-79,Other Non-Citizen,3.2
Johor,2020,2020-01-01,80-84,Bumi Malay,11.6
Johor,2020,2020-01-01,80-84,Bumi Other,0.3
Johor,2020,2020-01-01,80-84,Chinese,8.3
Johor,2020,2020-01-01,80-84,Indian,1
Johor,2020,2020-01-01,80-84,Other Citizen,0
Johor,2020,2020-01-01,80-84,Other Non-Citizen,3.4
Johor,2020,2020-01-01,85 and above,Bumi Malay,10.3
Johor,2020,2020-01-01,85 and above,Bumi Other,0.6
Johor,2020,2020-01-01,85 and above,Chinese,4.9
Johor,2020,2020-01-01,85 and above,Indian,1.3
Johor,2020,2020-01-01,85 and above,Other Citizen,0
Johor,2020,2020-01-01,85 and above,Other Non-Citizen,3.8
Johor,2021,2021-01-01,0-4,Bumi Malay,195.6
Johor,2021,2021-01-01,0-4,Bumi Other,6
Johor,2021,2021-01-01,0-4,Chinese,74.3
Johor,2021,2021-01-01,0-4,Indian,17.2
Johor,2021,2021-01-01,0-4,Other Citizen,1.6
Johor,2021,2021-01-01,0-4,Other Non-Citizen,1.9
Johor,2021,2021-01-01,15-19,Bumi Malay,195.2
Johor,2021,2021-01-01,15-19,Bumi Other,5.8
Johor,2021,2021-01-01,15-19,Chinese,96.1
Johor,2021,2021-01-01,15-19,Indian,20.8
Johor,2021,2021-01-01,15-19,Other Citizen,3.6
Johor,2021,2021-01-01,15-19,Other Non-Citizen,14.4
Johor,2021,2021-01-01,20-24,Bumi Malay,197.8
Johor,2021,2021-01-01,20-24,Bumi Other,4.5
Johor,2021,2021-01-01,20-24,Chinese,104.5
Johor,2021,2021-01-01,20-24,Indian,21
Johor,2021,2021-01-01,20-24,Other Citizen,3.1
Johor,2021,2021-01-01,20-24,Other Non-Citizen,60.4
Johor,2021,2021-01-01,25-29,Bumi Malay,175.7
Johor,2021,2021-01-01,25-29,Bumi Other,3
Johor,2021,2021-01-01,25-29,Chinese,97.7
Johor,2021,2021-01-01,25-29,Indian,19.7
Johor,2021,2021-01-01,25-29,Other Citizen,1
Johor,2021,2021-01-01,25-29,Other Non-Citizen,64
Johor,2021,2021-01-01,30-34,Bumi Malay,176.7
Johor,2021,2021-01-01,30-34,Bumi Other,4.4
Johor,2021,2021-01-01,30-34,Chinese,92
Johor,2021,2021-01-01,30-34,Indian,17.9
Johor,2021,2021-01-01,30-34,Other Citizen,1
Johor,2021,2021-01-01,30-34,Other Non-Citizen,43.4
Johor,2021,2021-01-01,35-39,Bumi Malay,171
Johor,2021,2021-01-01,35-39,Bumi Other,6.3
Johor,2021,2021-01-01,35-39,Chinese,91.2
Johor,2021,2021-01-01,35-39,Indian,19.8
Johor,2021,2021-01-01,35-39,Other Citizen,0.6
Johor,2021,2021-01-01,35-39,Other Non-Citizen,30.3
Johor,2021,2021-01-01,40-44,Bumi Malay,135.9
Johor,2021,2021-01-01,40-44,Bumi Other,4.5
Johor,2021,2021-01-01,40-44,Chinese,85.8
Johor,2021,2021-01-01,40-44,Indian,19.3
Johor,2021,2021-01-01,40-44,Other Citizen,1.2
Johor,2021,2021-01-01,40-44,Other Non-Citizen,20.2
Johor,2021,2021-01-01,45-49,Bumi Malay,117.1
Johor,2021,2021-01-01,45-49,Bumi Other,3.7
Johor,2021,2021-01-01,45-49,Chinese,82.8
Johor,2021,2021-01-01,45-49,Indian,15.8
Johor,2021,2021-01-01,45-49,Other Citizen,1.2
Johor,2021,2021-01-01,45-49,Other Non-Citizen,14.6
Johor,2021,2021-01-01,50-54,Bumi Malay,109.2
Johor,2021,2021-01-01,50-54,Bumi Other,2.4
Johor,2021,2021-01-01,50-54,Chinese,77.9
Johor,2021,2021-01-01,50-54,Indian,13.8
Johor,2021,2021-01-01,50-54,Other Citizen,0.7
Johor,2021,2021-01-01,50-54,Other Non-Citizen,10
Johor,2021,2021-01-01,55-59,Bumi Malay,100
Johor,2021,2021-01-01,55-59,Bumi Other,1.7
Johor,2021,2021-01-01,55-59,Chinese,69.9
Johor,2021,2021-01-01,55-59,Indian,11.9
Johor,2021,2021-01-01,55-59,Other Citizen,0.6
Johor,2021,2021-01-01,55-59,Other Non-Citizen,7.7
Johor,2021,2021-01-01,60-64,Bumi Malay,83.3
Johor,2021,2021-01-01,60-64,Bumi Other,1.2
Johor,2021,2021-01-01,60-64,Chinese,61.5
Johor,2021,2021-01-01,60-64,Indian,9.6
Johor,2021,2021-01-01,60-64,Other Citizen,0.7
Johor,2021,2021-01-01,60-64,Other Non-Citizen,5
Johor,2021,2021-01-01,65-69,Bumi Malay,54.4
Johor,2021,2021-01-01,65-69,Bumi Other,1.1
Johor,2021,2021-01-01,65-69,Chinese,32.7
Johor,2021,2021-01-01,65-69,Indian,6.8
Johor,2021,2021-01-01,65-69,Other Citizen,0.9
Johor,2021,2021-01-01,65-69,Other Non-Citizen,8.4
Johor,2021,2021-01-01,70-74,Bumi Malay,36.2
Johor,2021,2021-01-01,70-74,Bumi Other,0.9
Johor,2021,2021-01-01,70-74,Chinese,21.6
Johor,2021,2021-01-01,70-74,Indian,4
Johor,2021,2021-01-01,70-74,Other Citizen,0.2
Johor,2021,2021-01-01,70-74,Other Non-Citizen,5.5
Johor,2021,2021-01-01,75-79,Bumi Malay,20.3
Johor,2021,2021-01-01,75-79,Bumi Other,0.5
Johor,2021,2021-01-01,75-79,Chinese,13.6
Johor,2021,2021-01-01,75-79,Indian,2.4
Johor,2021,2021-01-01,75-79,Other Citizen,0.1
Johor,2021,2021-01-01,75-79,Other Non-Citizen,3
Johor,2021,2021-01-01,80-84,Bumi Malay,12.3
Johor,2021,2021-01-01,80-84,Bumi Other,0.4
Johor,2021,2021-01-01,80-84,Chinese,8.3
Johor,2021,2021-01-01,80-84,Indian,1.1
Johor,2021,2021-01-01,80-84,Other Citizen,0
Johor,2021,2021-01-01,80-84,Other Non-Citizen,3.2
Johor,2021,2021-01-01,85 and above,Bumi Malay,10.6
Johor,2021,2021-01-01,85 and above,Bumi Other,0.7
Johor,2021,2021-01-01,85 and above,Chinese,4.7
Johor,2021,2021-01-01,85 and above,Indian,1.3
Johor,2021,2021-01-01,85 and above,Other Citizen,0
Johor,2021,2021-01-01,85 and above,Other Non-Citizen,3.5
Johor,2022,2022-01-01,0-4,Bumi Malay,193.4
Johor,2022,2022-01-01,0-4,Bumi Other,6.2
Johor,2022,2022-01-01,0-4,Chinese,62.1
Johor,2022,2022-01-01,0-4,Indian,15.3
Johor,2022,2022-01-01,0-4,Other Citizen,1.8
Johor,2022,2022-01-01,0-4,Other Non-Citizen,1.9
